ticker,name,run_date,prior_status,new_status,prior_score,new_score
DMART,Avenue Supermarts Ltd,2026-04-06,New,Watchlist,,60.96
KSB,KSB Ltd,2026-04-06,New,Watchlist,,62.01
INDIANB,Indian Bank,2026-04-06,New,Watchlist,,59.38
NILASPACES,Nila Spaces Ltd,2026-04-06,New,Investable,,72.18
CREDITACC,CreditAccess Grameen Ltd,2026-04-06,New,Watchlist,,57.93
INDUSTOWER,Indus Towers Ltd,2026-04-06,New,Investable,,74.42
UFO,UFO Moviez India Ltd,2026-04-06,New,Investable,,71.85
RITES,Rites Ltd,2026-04-06,New,Watchlist,,65.3
CARERATING,CARE Ratings Ltd,2026-04-06,New,Watchlist,,62.09
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,2026-04-06,New,Watchlist,,65.67
GARFIBRES,Garware Technical Fibres Ltd,2026-04-06,New,Investable,,71.96
GESHIP,Great Eastern Shipping Company Ltd,2026-04-06,New,Investable,,73.86
NATCOPHARM,Natco Pharma Ltd,2026-04-06,New,Investable,,71.4
HGINFRA,H.G. Infra Engineering Ltd,2026-04-06,New,Watchlist,,62.61
JINDALSAW,Jindal Saw Ltd,2026-04-06,New,Watchlist,,65.9
APTECHT,Aptech Ltd,2026-04-06,New,Watchlist,,67.38
CGCL,Capri Global Capital Ltd,2026-04-06,New,Watchlist,,58.01
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Ltd,2026-04-06,New,Investable,,74.14
OSWALAGRO,Oswal Agro Mills Ltd,2026-04-06,New,Watchlist,,69.66
MAHSEAMLES,Maharashtra Seamless Ltd,2026-04-06,New,Watchlist,,69.17
PREMEXPLN,Premier Explosives Ltd,2026-04-06,New,Watchlist,,58.72
LTFOODS,L T Foods Ltd,2026-04-06,New,Investable,,72.56
BLS,BLS International Services Ltd,2026-04-06,New,Investable,,75.09
CAMS,Computer Age Management Services Ltd,2026-04-06,New,Watchlist,,59.35
TRIGYN,Trigyn Technologies Ltd,2026-04-06,New,Avoid,,46.57
SUNDARMFIN,Sundaram Finance Ltd,2026-04-06,New,Watchlist,,61.49
JWL,Jupiter Wagons Ltd,2026-04-06,New,Watchlist,,64.55
HINDCOPPER,Hindustan Copper Ltd,2026-04-06,New,Watchlist,,57.35
DLINKINDIA,D-Link India Ltd,2026-04-06,New,Watchlist,,68.92
INNOVANA,Innovana Thinklabs Ltd,2026-04-06,New,Watchlist,,65.7
PFS,PTC India Financial Services Ltd,2026-04-06,New,Watchlist,,66.71
VIMTALABS,Vimta Labs Ltd,2026-04-06,New,Watchlist,,64.73
LINDEINDIA,Linde India Ltd,2026-04-06,New,Watchlist,,57.83
ARROWGREEN,Arrow Greentech Ltd,2026-04-06,New,Investable,,73.74
BSOFT,Birlasoft Ltd,2026-04-06,New,Watchlist,,58.45
KCPSUGIND,KCP Sugar & Industries Corporation Ltd,2026-04-06,New,Watchlist,,54.19
ONWARDTEC,Onward Technologies Ltd,2026-04-06,New,Investable,,73.28
VINATIORGA,Vinati Organics Ltd,2026-04-06,New,Watchlist,,64.46
SHRIPISTON,Shriram Pistons & Rings Ltd,2026-04-06,New,Watchlist,,68.86
AVANTIFEED,Avanti Feeds Ltd,2026-04-06,New,Watchlist,,65.28
MAPMYINDIA,C.E. Info Systems Ltd,2026-04-06,New,Watchlist,,59.34
PNB,Punjab National Bank,2026-04-06,New,Watchlist,,64.67
QPOWER,Quality Power Electrical Equipments Ltd,2026-04-06,New,Watchlist,,58.23
HUDCO,Housing & Urban Development Corporation Ltd,2026-04-06,New,Watchlist,,61.56
EICHERMOT,Eicher Motors Ltd,2026-04-06,New,Watchlist,,66.51
CARTRADE,Cartrade Tech Ltd,2026-04-06,New,Watchlist,,60.69
GRWRHITECH,Garware Hi Tech Films Ltd,2026-04-06,New,Watchlist,,61.8
STOVEKRAFT,Stove Kraft Ltd,2026-04-06,New,Watchlist,,63.52
FOSECOIND,Foseco India Ltd,2026-04-06,New,Watchlist,,65.57
JSL,Jindal Stainless Ltd,2026-04-06,New,Watchlist,,67.53
SATIN,Satin Creditcare Network Ltd,2026-04-06,New,Watchlist,,58.19
ZEEL,Zee Entertainment Enterprises Ltd,2026-04-06,New,Watchlist,,64.86
NBCC,NBCC (India) Ltd,2026-04-06,New,Watchlist,,58.11
POWERGRID,Power Grid Corporation of India Ltd,2026-04-06,New,Investable,,71.03
NATHBIOGEN,Nath Bio-Genes (India) Ltd,2026-04-06,New,Investable,,71.59
SBFC,SBFC Finance Ltd,2026-04-06,New,Watchlist,,58.18
BLSE,BLS E-Services Ltd,2026-04-06,New,Watchlist,,57.02
LICI,Life Insurance Corporation of India,2026-04-06,New,Investable,,71.55
AGARIND,Agarwal Industrial Corporation Ltd,2026-04-06,New,Watchlist,,65.58
TFCILTD,Tourism Finance Corporation of India Ltd,2026-04-06,New,Watchlist,,52.76
IGCL,Indogulf Cropsciences Ltd,2026-04-06,New,Watchlist,,59.37
CELLO,Cello World Ltd,2026-04-06,New,Watchlist,,66.63
SUZLON,Suzlon Energy Ltd,2026-04-06,New,Watchlist,,67.16
MCX,Multi Commodity Exchange of India Ltd,2026-04-06,New,Watchlist,,57.08
ELECTCAST,Electrosteel Castings Ltd,2026-04-06,New,Watchlist,,68.94
IOC,Indian Oil Corporation Ltd,2026-04-06,New,Watchlist,,66.3
VERTOZ,Vertoz Ltd,2026-04-06,New,Watchlist,,63.85
ZYDUSLIFE,Zydus Lifesciences Ltd,2026-04-06,New,Investable,,75.97
SAGILITY,Sagility Ltd,2026-04-06,New,Watchlist,,54.15
INTELLECT,Intellect Design Arena Ltd,2026-04-06,New,Watchlist,,61.36
GPTINFRA,GPT Infraprojects Ltd,2026-04-06,New,Watchlist,,68.3
NLCINDIA,NLC India Ltd,2026-04-06,New,Watchlist,,69.12
ADANIPOWER,Adani Power Ltd,2026-04-06,New,Watchlist,,68.33
SURYAROSNI,Surya Roshni Ltd,2026-04-06,New,Watchlist,,67.44
GLAXO,Glaxosmithkline Pharmaceuticals Ltd,2026-04-06,New,Watchlist,,64.14
PICCADIL,Piccadily Agro Industries Ltd,2026-04-06,New,Watchlist,,65.86
NTPC,NTPC Ltd,2026-04-06,New,Investable,,72.19
OPTIEMUS,Optiemus Infracom Ltd,2026-04-06,New,Watchlist,,67.14
FINCABLES,Finolex Cables Ltd,2026-04-06,New,Watchlist,,66.09
KRBL,KRBL Ltd,2026-04-06,New,Watchlist,,69.92
ONEPOINT,One Point One Solutions Ltd,2026-04-06,New,Watchlist,,58.73
LALPATHLAB,Dr Lal Pathlabs Ltd,2026-04-06,New,Watchlist,,63.52
RBLBANK,RBL Bank Ltd,2026-04-06,New,Watchlist,,51.16
SONACOMS,Sona BLW Precision Forgings Ltd,2026-04-06,New,Watchlist,,57.47
GALAPREC,Gala Precision Engineering Ltd,2026-04-06,New,Watchlist,,66.08
SESHAPAPER,Seshasayee Paper & Boards Ltd,2026-04-06,New,Watchlist,,59.47
TORNTPOWER,Torrent Power Ltd,2026-04-06,New,Watchlist,,69.28
MAWANASUG,Mawana Sugars Ltd,2026-04-06,New,Investable,,70.41
GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Ltd,2026-04-06,New,Watchlist,,66.51
HINDOILEXP,Hindustan Oil Exploration Company Ltd,2026-04-06,New,Watchlist,,63.24
FIVESTAR,Five-Star Business Finance Ltd,2026-04-06,New,Watchlist,,58.52
GRINDWELL,Grindwell Norton Ltd,2026-04-06,New,Watchlist,,64.49
TECHNOE,Techno Electric & Engineering Company Ltd,2026-04-06,New,Watchlist,,58.56
AAVAS,AAVAS Financiers Ltd,2026-04-06,New,Watchlist,,60.36
ZENSARTECH,Zensar Technologies Ltd,2026-04-06,New,Watchlist,,59.79
SUNPHARMA,Sun Pharmaceutical Industries Ltd,2026-04-06,New,Watchlist,,69.43
IMFA,Indian Metals & Ferro Alloys Ltd,2026-04-06,New,Investable,,71.06
BOSCHLTD,Bosch Ltd,2026-04-06,New,Watchlist,,61.3
FORCEMOT,Force Motors Ltd,2026-04-06,New,Watchlist,,52.84
SPIC,Southern Petrochemicals Industries Corporation Ltd,2026-04-06,New,Watchlist,,65.22
DHANUKA,Dhanuka Agritech Ltd,2026-04-06,New,Investable,,73.25
